,date,restaurant_id,*,**,***
2778,07-02-2007,VpoGrg3r,0,0,0
23736,07-02-2007,XJ3r5ZER,0,0,0
20500,07-02-2007,eVOBWeEj,14,1,3
4597,07-02-2007,xWoYKEKn,0,0,0
20931,08-02-2007,6Wo2vGo9,0,0,0
8081,08-02-2007,ZBEn02oY,0,0,0
8340,08-02-2007,we39Nvok,0,0,0
20645,08-02-2007,we39ZAok,0,0,0
22871,08-02-2007,ydEj5gOW,0,0,0
17640,09-02-2007,6VOpwdoL,0,0,0
12187,12-02-2007,1JEbDQoR,0,0,0
14966,12-02-2007,1JEbamOR,10,1,5
2386,12-02-2007,7RO5vjEq,0,0,0
21560,12-02-2007,8gOqR0E2,0,0,0
800,12-02-2007,B1oXAQOV,0,0,0
18738,13-02-2007,1JEbamOR,10,1,5
31743,13-02-2007,m0oWmREG,0,0,0
9637,13-02-2007,njoZ1D3r,0,0,0
27523,14-02-2007,Pk3wJwEd,0,0,0
1651,14-02-2007,geEVRzEz,0,0,0
6663,14-02-2007,xWoY9KoK,2,0,0
10761,14-02-2007,xWoYKEKn,0,0,0
8963,15-02-2007,Y1EmwVow,0,0,0
28027,15-02-2007,p038VvOm,0,0,0
23085,15-02-2007,rNo6DdE6,0,0,0
11148,15-02-2007,we392Nok,0,0,0
8953,16-02-2007,9JoPaeO8,0,0,0
25180,16-02-2007,VpoGrg3r,0,0,0
25782,16-02-2007,dj3djjO9,1,0,0
5589,16-02-2007,p038VvOm,0,0,0
30865,20-02-2007,B1oX4moV,0,0,0
17679,20-02-2007,rNo6DdE6,0,0,0
11966,22-02-2007,1JEbamOR,8,1,1
24312,22-02-2007,Y1EmwVow,0,0,0
23635,22-02-2007,dj3dGjE9,0,0,0
23700,22-02-2007,geEVVdEz,0,0,0
355,22-02-2007,m0oWz13G,0,0,0
2193,23-02-2007,6Wo2vGo9,0,0,0
2978,23-02-2007,9JoPaeO8,0,0,0
7608,26-02-2007,1JEb4JoR,0,0,0
15550,26-02-2007,N6OkzKox,0,0,0
22728,26-02-2007,NbE1bk3J,0,0,0
28033,27-02-2007,1m3Mj9oB,0,0,0
22215,27-02-2007,7RO54Woq,7,0,1
7137,27-02-2007,B1oX66EV,0,0,0
25343,27-02-2007,v5oJJJoB,0,0,0
13468,28-02-2007,geEVRzEz,0,0,0
8779,28-02-2007,geEVavOz,0,0,0
28886,01-03-2007,6Wo2a639,9,0,3
4310,01-03-2007,B1oX66EV,0,0,0
28681,01-03-2007,JBEyG0o8,33,3,15
29079,01-03-2007,VpoGpvOr,0,0,0
13579,01-03-2007,nkOvQ8oB,0,0,0
2675,02-03-2007,6Wo2YN39,0,0,0
18772,02-03-2007,geEVVdEz,0,0,0
17657,05-03-2007,0ZEDnpoD,12,1,10
526,05-03-2007,1JEbN7ER,9,0,1
14154,06-03-2007,1m3Mj9oB,0,0,0
14116,07-03-2007,1JEbr1ER,0,0,0
9227,07-03-2007,8KoA4536,0,0,0
19881,07-03-2007,eVOBWeEj,4,0,0
33282,08-03-2007,8x3zy2Ek,4,0,0
13471,09-03-2007,7RO54Woq,7,0,0
33061,09-03-2007,8x3zA9Ek,0,0,0
12970,09-03-2007,Y1EmZ93w,0,0,0
24191,09-03-2007,geEVavOz,0,0,0
11953,10-03-2007,Y1EmZ93w,0,0,0
2094,12-03-2007,6VOpwdoL,0,0,0
17427,12-03-2007,N6OkzKox,0,0,0
4728,12-03-2007,v5oJN8oB,0,0,0
8630,13-03-2007,0j3Lpj3r,0,0,0
29844,13-03-2007,6Wo2a639,9,0,3
4777,13-03-2007,JBEyG0o8,3,0,0
25242,14-03-2007,6Wo2wYO9,8,0,3
19095,19-03-2007,1JEbN7ER,9,0,1
1861,19-03-2007,VpoGpvOr,0,0,0
29659,19-03-2007,njoZ4YEr,0,0,0
32276,19-03-2007,v5oJN8oB,0,0,0
12555,21-03-2007,njoZ4YEr,0,0,0
5676,22-03-2007,8gOqGA32,0,0,0
20429,22-03-2007,dj3d9Ao9,0,0,0
8999,22-03-2007,rNo6w6O6,0,0,0
12020,23-03-2007,1JEbXYoR,10,2,2
23644,23-03-2007,qN3gpYoA,4,1,0
30118,25-03-2007,0j3LLx3r,0,0,0
23403,25-03-2007,8KoA65O6,0,0,0
11269,25-03-2007,Pk3wrqEd,0,0,0
5572,25-03-2007,XJ3r1bER,0,0,0
16391,25-03-2007,dj3dz7O9,0,0,0
5929,25-03-2007,xWoYGMEK,0,0,0
7966,26-03-2007,6Wo2wYO9,8,0,3
8754,26-03-2007,8x3zA9Ek,0,0,0
18610,26-03-2007,9JoPR5E8,0,0,0
26745,26-03-2007,NbE19kEJ,22,2,4
19492,26-03-2007,ZBEnJpEY,0,0,0
28729,26-03-2007,eVOBLr3j,0,0,0
26193,26-03-2007,qN3gJ2EA,0,0,0
972,27-03-2007,7RO5DXoq,2,0,0
4602,27-03-2007,NbE1jm3J,15,2,4
5029,27-03-2007,Y1Em57Ew,7,0,2
3543,28-03-2007,7RO5DXoq,13,0,8
15314,28-03-2007,WwOaZpEB,0,0,0
21335,28-03-2007,qN3gpYoA,4,1,0
7102,29-03-2007,1m3MdkEB,0,0,0
10256,29-03-2007,m0oWLPOG,0,0,0
29439,29-03-2007,rNo6w6O6,0,0,0
25322,30-03-2007,7RO5DXoq,10,0,6
32912,30-03-2007,m0oWqlEG,5,0,0
5934,31-03-2007,1JEbM4OR,0,0,0
9870,31-03-2007,1JEbYwOR,0,0,0
12395,31-03-2007,8x3z1NEk,0,0,0
19141,31-03-2007,9JoP2qE8,0,0,0
18828,31-03-2007,eVOBZ6Oj,0,0,0
3106,31-03-2007,lnORZeON,0,0,0
22760,31-03-2007,qN3gK03A,0,0,0
25616,31-03-2007,we39kZOk,0,0,0
16828,01-04-2007,1m3MNboB,0,0,0
9744,01-04-2007,1m3MlLEB,0,0,0
30889,01-04-2007,8x3zQZEk,0,0,0
18849,01-04-2007,JGoN8dEL,0,0,0
5623,01-04-2007,WeEewmoa,0,0,0
1752,01-04-2007,xWoYWMEK,0,0,0
9220,02-04-2007,7RO5JrEq,0,0,0
3795,02-04-2007,eVOB91oj,3,0,0
32049,02-04-2007,m0oWrz3G,0,0,0
9872,02-04-2007,wmo74GOq,0,0,0
8594,03-04-2007,ZBEnJpEY,0,0,0
13558,03-04-2007,eVOBLr3j,0,0,0
18609,04-04-2007,xWoYqvoK,8,1,7
22790,05-04-2007,1m3MdkEB,0,0,0
11324,05-04-2007,JGoN2WoL,0,0,0
12895,05-04-2007,WwOaZpEB,0,0,0
297,05-04-2007,Y1Em57Ew,10,0,2
1035,05-04-2007,ZBEnDYoY,15,2,5
18278,06-04-2007,ZBEnNqEY,3,0,0
19712,06-04-2007,m0oWqlEG,5,0,0
8369,09-04-2007,8x3z6Y3k,0,0,0
21317,09-04-2007,9JoPR5E8,0,0,0
12368,09-04-2007,NbE19kEJ,17,2,4
8884,09-04-2007,rNo6LXE6,6,1,0
26230,11-04-2007,B1oXKN3V,7,0,0
10534,11-04-2007,Pk3wmwOd,12,0,2
10932,12-04-2007,8KoAnaO6,1,0,0
30961,12-04-2007,B1oXJqEV,3,0,0
25156,12-04-2007,Y1Em57Ew,6,0,0
22290,12-04-2007,m0oWrz3G,0,0,0
9415,12-04-2007,xWoYqvoK,8,1,7
349,13-04-2007,0j3LmZor,0,0,0
9452,13-04-2007,7RO526Eq,0,0,0
14969,13-04-2007,ZBEnNqEY,3,0,0
5940,16-04-2007,eVOB91oj,3,0,0
29872,17-04-2007,7RO5DXoq,6,0,4
13309,17-04-2007,8x3z6Y3k,0,0,0
22026,17-04-2007,NbE1jm3J,15,2,4
24055,17-04-2007,p038RaOm,4,1,2
12195,18-04-2007,6K3lNvOz,0,0,2
32590,18-04-2007,eVOBnpOj,5,0,4
20804,18-04-2007,ydEjM1OW,11,1,3
20388,19-04-2007,6VOpkmoL,8,0,0
8631,19-04-2007,7RO5XVoq,0,0,0
24042,19-04-2007,ZBEnAqOY,18,4,2
33397,19-04-2007,ZBEnDYoY,15,2,5
21530,19-04-2007,xWoYWMEK,14,4,2
11718,20-04-2007,1JEb713R,3,0,0
18317,20-04-2007,6K3lG5Ez,6,0,4
3895,20-04-2007,B1oXmqOV,3,0,0
27639,20-04-2007,JBEyMRE8,6,0,0
828,20-04-2007,V430Xb3B,8,2,2
22844,20-04-2007,Y1EmY7Ew,3,0,1
2806,20-04-2007,lnORDD3N,8,1,3
7842,20-04-2007,m0oWgloG,36,6,6
19081,20-04-2007,wmo7nd3q,1,1,0
18529,23-04-2007,8KoAMQo6,2,0,0
25197,24-04-2007,9JoP7j38,13,2,8
14886,24-04-2007,V430Xb3B,8,2,2
15759,24-04-2007,Y1EmpROw,2,0,1
27447,24-04-2007,geEV2dEz,7,0,2
20832,25-04-2007,0j3L7vEr,0,0,0
6863,25-04-2007,0j3Lqjor,0,0,0
18026,25-04-2007,1m3M9k3B,0,0,0
1343,25-04-2007,6K3lQKoz,0,0,0
7660,25-04-2007,XJ3r9RER,0,0,0
20755,26-04-2007,1JEb713R,3,0,0
11487,26-04-2007,6K3l1xoz,25,2,13
12363,26-04-2007,Pk3wVVEd,11,3,5
11882,26-04-2007,V430l53B,4,2,4
2874,26-04-2007,Y1EmRn3w,5,1,2
25126,26-04-2007,ZBEnDYoY,15,2,5
6180,26-04-2007,eVOBnpOj,8,3,1
22802,27-04-2007,6K3lQqoz,0,0,0
32988,27-04-2007,9JoPbdE8,6,0,0
28746,27-04-2007,B1oXJqEV,0,0,0
2487,27-04-2007,B1oXmqOV,3,0,0
10178,27-04-2007,JGoNqk3L,2,0,0
23846,27-04-2007,Y1EmY7Ew,3,0,1
6501,27-04-2007,ZBEnaqOY,6,0,2
18675,27-04-2007,qN3gJ2EA,0,0,0
6568,30-04-2007,6K3l1xoz,17,3,11
9820,30-04-2007,7RO5DXoq,2,0,2
14738,30-04-2007,lnORDD3N,8,1,3
25151,30-04-2007,m0oWgloG,15,2,2
23908,30-04-2007,rNo6LXE6,6,1,0
10873,01-05-2007,9JoP8jo8,4,0,2
5560,01-05-2007,9JoPY7O8,0,0,0
1,01-05-2007,JGoN6YoL,10,0,2
24057,01-05-2007,N6OkRvox,19,2,5
10716,01-05-2007,Y1EmpROw,3,0,1
7826,01-05-2007,ZBEn2WEY,1,0,0
9189,01-05-2007,p038ADom,0,0,1
813,01-05-2007,p038RaOm,4,1,2
21079,01-05-2007,v5oJA83B,5,0,0
11402,01-05-2007,wmo7Gdoq,3,0,0
29857,01-05-2007,xWoYqvoK,0,0,0
26109,02-05-2007,0ZEDWxOD,5,1,2
1185,02-05-2007,8KoAjKO6,6,1,0
21382,02-05-2007,9JoPv5E8,0,0,0
24452,02-05-2007,JBEyMRE8,6,0,0
26048,02-05-2007,N6OkLgEx,0,0,0
30615,02-05-2007,WeEe6W3a,7,0,1
31929,02-05-2007,WwOaXpoB,16,4,2
1939,02-05-2007,dj3dkXE9,6,0,0
12281,02-05-2007,eVOBWeEj,0,0,0
2574,02-05-2007,p038Xv3m,0,0,0
24321,02-05-2007,rNo6lgE6,6,0,2
24214,02-05-2007,v5oJA83B,5,0,0
224,03-05-2007,0ZEDeW3D,10,0,8
22388,03-05-2007,6VOp2B3L,5,0,4
12231,03-05-2007,9JoPv5E8,0,0,0
27862,03-05-2007,V430w7EB,11,2,3
19269,03-05-2007,Y1EmRn3w,5,1,2
13348,03-05-2007,eVOBnpOj,5,0,4
30431,03-05-2007,geEV2dEz,7,0,2
16012,04-05-2007,8gOqpro2,14,0,1
25296,04-05-2007,8x3zPZOk,8,0,0
31291,04-05-2007,8xEx8yE0,12,2,0
25202,04-05-2007,9JoPY7O8,0,0,0
30969,04-05-2007,9JoPbdE8,6,0,0
18936,04-05-2007,JGoNK8OL,3,0,2
30626,04-05-2007,dj3dGgE9,3,0,2
10037,04-05-2007,geEVMJOz,1,0,0
22078,04-05-2007,xWoYRrOK,0,0,0
25962,05-05-2007,0ZEDeW3D,2,0,0
25706,07-05-2007,0ZEDWxOD,5,1,2
9479,07-05-2007,0j3Llq3r,5,0,3
27343,07-05-2007,1m3MxLEB,0,0,0
20945,07-05-2007,6K3l15oz,2,0,0
3903,07-05-2007,6K3lGgEz,6,0,0
23310,07-05-2007,6Wo228o9,10,1,1
21611,07-05-2007,8KoAB4O6,26,0,5
21800,07-05-2007,KAoKWjog,0,0,1
18240,07-05-2007,ZBEnaqOY,6,0,2
20274,07-05-2007,eVOBL3jr,12,4,2
8420,07-05-2007,m0oWgloG,13,2,2
20461,08-05-2007,1m3MxLEB,10,0,2
17359,08-05-2007,6K3lG5Ez,6,0,4
1871,08-05-2007,6VOpnd3L,2,0,3
8498,08-05-2007,dj3d7aE9,23,1,6
2444,08-05-2007,m0oW5wEG,4,0,1
18489,08-05-2007,rJoQ9loV,3,0,0
9200,09-05-2007,0j3L7vEr,0,0,0
28396,09-05-2007,0j3Lqjor,0,0,0
27065,09-05-2007,ZBEnjpEY,12,2,3
2812,09-05-2007,eVOBZ6Oj,9,1,0
29073,09-05-2007,geEVyeOz,6,0,1
29810,09-05-2007,lnORPD3N,12,2,0
7727,09-05-2007,rJoQlq3V,9,0,0
28545,09-05-2007,rJoQpa3V,2,1,0
26489,09-05-2007,we3905Ek,3,1,0
27394,09-05-2007,we39Al3k,6,0,0
12522,10-05-2007,0ZED4ED9,6,0,1
12351,10-05-2007,0ZEDQG3D,1,0,0
18584,10-05-2007,0ZEDeW3D,4,0,0
11753,10-05-2007,1m3M5p3B,20,2,6
2736,10-05-2007,6K3l2eOz,10,2,2
15961,10-05-2007,6Wo2K6O9,28,0,4
19139,10-05-2007,8xExw6O0,10,2,5
9054,10-05-2007,9JoP7j38,13,2,8
5899,10-05-2007,JGoNqk3L,2,0,0
25405,10-05-2007,N6OkDvEx,16,2,6
25228,10-05-2007,V430Xb3B,1,1,1
3472,10-05-2007,V430w7EB,11,2,3
11257,10-05-2007,WwOapwoB,18,0,2
28981,10-05-2007,geEVyeOz,6,0,1
30666,10-05-2007,xWoYJvOK,0,0,0
32014,11-05-2007,6K3lG5Ez,6,0,3
3532,11-05-2007,6VOp2B3L,5,0,4
26393,11-05-2007,8KoA15o6,11,1,10
901,11-05-2007,V4305yoB,1,0,0
19211,11-05-2007,WeEe6W3a,7,0,1
32205,11-05-2007,dj3dGgE9,3,0,2
5271,11-05-2007,njoZqQ3r,6,0,1
17670,11-05-2007,rJoQ9loV,6,0,0
13267,11-05-2007,rNo6v6o6,6,0,0
3617,11-05-2007,v5oJMA3B,20,0,6
6945,14-05-2007,8KoA15o6,1,0,0
20262,14-05-2007,8gOq9MO2,2,0,0
2375,14-05-2007,B1oXKN3V,16,2,4
14140,14-05-2007,KAoKWjog,0,0,1
21258,14-05-2007,NbE1bk3J,14,1,4
5058,14-05-2007,njoZgbOr,0,0,0
18170,14-05-2007,rJoQlq3V,3,0,0
31780,15-05-2007,0ZED4pED,16,0,0
14399,15-05-2007,JBEybN38,6,2,0
29425,15-05-2007,NbE1jm3J,0,1,0
10313,15-05-2007,WwOaVdEB,2,0,0
15201,15-05-2007,lnOR6LON,4,0,1
22606,15-05-2007,lnOReVoN,8,1,1
30078,15-05-2007,lnORjnON,0,0,0
31346,15-05-2007,m0oW5wEG,4,0,1
12851,15-05-2007,m0oWyPEG,32,2,4
26821,15-05-2007,nkOv58oB,13,0,0
31360,15-05-2007,nkOvJ8OB,4,0,1
21515,15-05-2007,p038rzOm,12,2,2
12415,15-05-2007,rNo65X36,6,1,1
15564,15-05-2007,we39KZOk,8,0,5
12016,16-05-2007,0j3Llq3r,5,0,3
23347,16-05-2007,1m3MVYoB,2,0,3
15354,16-05-2007,6Wo228o9,10,1,1
23751,16-05-2007,8x3zPZOk,8,0,0
10209,16-05-2007,B1oXKN3V,16,2,4
16203,16-05-2007,Pk3wKx3d,4,1,0
27097,16-05-2007,Pk3wqxOd,6,0,2
7156,16-05-2007,WwOaVdEB,0,0,0
11332,16-05-2007,dj3djjO9,8,0,2
33463,16-05-2007,eVOBgpEj,18,2,2
24148,16-05-2007,geEVeBOz,10,0,0
12158,16-05-2007,rJoQpa3V,2,1,0
24979,16-05-2007,we397lOk,6,0,0
24203,16-05-2007,we39KZOk,2,0,1
4594,17-05-2007,0ZED4ED9,6,0,1
4313,17-05-2007,1m3M8pEB,12,2,0
13091,17-05-2007,7RO5KX3q,8,0,0
32364,17-05-2007,8xExBJo0,7,2,0
30479,17-05-2007,8xExw6O0,10,2,4
15629,17-05-2007,Y1Em57Ew,1,0,0
31690,17-05-2007,geEVNvEz,6,0,0
9326,17-05-2007,njoZGbOr,8,0,2
23620,17-05-2007,nkOvGMEB,4,0,0
3428,17-05-2007,rNo65X36,6,1,1
235,18-05-2007,6VOpLmOL,10,1,5
29394,18-05-2007,8gOq8no2,24,2,6
2280,18-05-2007,KAoKjd3g,18,0,0
21422,18-05-2007,NbE1xaOJ,11,1,1
23303,18-05-2007,WeEeKaoa,2,0,2
6735,18-05-2007,ZBEnjpEY,12,2,3
15686,18-05-2007,dj3dlN39,2,0,0
32565,18-05-2007,we39Al3k,2,0,0
20475,18-05-2007,ydEjM1OW,11,1,3
8468,21-05-2007,1JEbP4oR,18,2,6
30717,21-05-2007,6K3lQqoz,6,0,0
19874,21-05-2007,6Wo2W8O9,9,0,0
11360,21-05-2007,8KoA15o6,5,0,13
17395,21-05-2007,8KoAB4O6,2,2,0
15055,21-05-2007,B1oXKN3V,16,2,4
19968,21-05-2007,Pk3wmwOd,0,0,0
19743,21-05-2007,dj3d7aE9,0,0,0
6299,21-05-2007,dj3dm5o9,6,0,0
13670,21-05-2007,geEVMJOz,22,0,0
11,21-05-2007,lnORLK3N,10,0,4
7366,21-05-2007,wmo7qbEq,6,0,0
33196,21-05-2007,ydEj4VoW,5,1,1
25826,22-05-2007,0ZEDZ4oD,2,0,0
8909,22-05-2007,0ZEDdkED,4,0,0
28933,22-05-2007,6K3l15oz,2,0,0
9448,22-05-2007,6VOpAQEL,0,0,0
15077,22-05-2007,6VOpnd3L,1,0,3
4450,22-05-2007,8KoAZaO6,0,0,0
27118,22-05-2007,8KoAjKO6,6,1,0
6114,22-05-2007,8x3zx2Ok,1,0,0
22188,22-05-2007,JGoNAb3L,0,0,0
8697,22-05-2007,KAoKY6Eg,0,0,2
33325,22-05-2007,Pk3wmwOd,12,0,2
3596,22-05-2007,V430G4EB,7,1,0
11066,22-05-2007,WeEeXdOa,0,0,0
1362,22-05-2007,ZBEnpYoY,0,0,0
1463,22-05-2007,dj3d7aE9,15,1,6
3897,22-05-2007,dj3dr7O9,1,0,0
29111,22-05-2007,eVOB8w3j,0,0,0
17895,22-05-2007,geEVvJEz,0,0,0
18097,22-05-2007,m0oWRQ3G,5,0,0
669,22-05-2007,njoZ1D3r,4,1,0
25882,22-05-2007,njoZgbOr,0,0,0
27624,22-05-2007,rJoQkrEV,0,0,0
30216,22-05-2007,v5oJQ13B,0,0,0
8489,22-05-2007,wmo749Oq,0,0,0
21712,23-05-2007,1JEbP4oR,18,2,6
14195,23-05-2007,8xExP9E0,5,0,1
30575,23-05-2007,JBEy6m38,8,2,6
10616,23-05-2007,eVOBZ6Oj,9,1,0
14627,23-05-2007,rJoQ9loV,3,0,0
9780,23-05-2007,rNo69l36,0,0,0
5220,23-05-2007,we3905Ek,3,1,0
8731,24-05-2007,7RO5KX3q,0,0,0
28590,24-05-2007,9JoP2qE8,8,0,0
16084,24-05-2007,KAoKY6Eg,4,0,8
9202,24-05-2007,Pk3wMKOd,10,0,2
27207,24-05-2007,Y1EmkAow,10,1,2
1444,24-05-2007,lnORPD3N,12,2,0
25226,24-05-2007,nkOv1loB,6,0,0
30199,24-05-2007,p038ADom,12,3,2
2124,24-05-2007,qN3gK03A,18,0,10
19965,24-05-2007,rJoQeAoV,10,0,0
29834,24-05-2007,rJoQrqOV,0,2,0
510,24-05-2007,ydEjW23W,6,0,0
23146,25-05-2007,8xExBJo0,7,2,0
18050,25-05-2007,VpoGz73r,4,1,2
2081,25-05-2007,Y1Em0mOw,4,0,0
4220,25-05-2007,dj3djjO9,8,0,2
19129,25-05-2007,eVOBreOj,10,0,4
23838,25-05-2007,m0oWDJOG,2,0,0
13585,25-05-2007,ydEjeOW0,6,1,0
11144,29-05-2007,6K3lW6Ez,5,1,1
7895,29-05-2007,NbE1bk3J,18,1,4
397,29-05-2007,eVOBJkOj,20,0,6
3905,29-05-2007,njoZ1D3r,4,1,0
25519,29-05-2007,wmo7Nv3q,10,2,0
20934,29-05-2007,wmo7nd3q,1,1,0
29187,29-05-2007,ydEj4VoW,5,1,1
25017,30-05-2007,1JEbP4oR,8,1,0
20638,30-05-2007,1m3MJDoB,32,0,6
764,30-05-2007,8xExP9E0,5,0,1
14599,30-05-2007,NbE1bk3J,22,0,10
24005,30-05-2007,Y1EmanEw,4,0,0
1265,30-05-2007,Y1EmymEw,18,2,4
7365,30-05-2007,m0oWRQ3G,5,0,0
28935,30-05-2007,nkOvZOBW,8,0,0
22404,30-05-2007,p038m8om,14,2,4
7194,30-05-2007,qN3glYoA,8,0,0
29171,30-05-2007,rJoQ6WOV,6,0,0
9663,30-05-2007,rNo6v6o6,6,0,0
11011,30-05-2007,wmo7AvEq,5,1,1
18120,30-05-2007,xWoYYAoK,0,0,0
6580,31-05-2007,1JEbKN3R,8,1,2
22083,31-05-2007,6K3lG5Ez,6,0,3
28386,31-05-2007,8xExw6O0,3,0,0
9142,31-05-2007,N6OkZgox,16,0,5
28128,31-05-2007,N6OkkGOx,16,4,2
5238,31-05-2007,Pk3w02od,6,1,2
26653,31-05-2007,V430w7EB,4,0,0
10261,31-05-2007,WeEeKaoa,22,0,4
10043,31-05-2007,XJ3rDpOR,2,0,0
11374,31-05-2007,dj3dX539,10,0,0
20001,31-05-2007,eVOB8w3j,6,0,0
22221,31-05-2007,ekE4GjO2,0,0,0
22642,31-05-2007,lnORPD3N,8,1,0
33037,31-05-2007,lnORbLON,4,2,2
635,31-05-2007,p038ADom,12,3,3
23735,31-05-2007,p038beOm,1,0,0
17153,31-05-2007,rNo6v6o6,1,0,0
24557,01-06-2007,NbE12N3J,4,0,1
27390,01-06-2007,Pk3w713d,0,0,0
32316,01-06-2007,V430BAOB,14,2,0
24240,01-06-2007,V430G4EB,7,1,0
32614,01-06-2007,WeEeqwEa,11,1,0
4733,01-06-2007,Y1EmLmOw,6,1,0
24147,01-06-2007,Y1EmkAow,10,1,2
9185,04-06-2007,0ZEDGWOD,5,1,0
11722,04-06-2007,6Wo2y539,6,1,2
28473,04-06-2007,8x3zG9ok,3,0,1
3681,04-06-2007,JBEyG0o8,4,0,1
10978,04-06-2007,Pk3wQqOd,1,0,0
31899,04-06-2007,VpoGz73r,4,1,2
13037,04-06-2007,Y1EmNn3w,2,0,10
213,04-06-2007,ZBEn02oY,11,1,2
3667,04-06-2007,dj3d1Xo9,3,0,1
9007,04-06-2007,ekE4xKE2,9,0,0
20182,04-06-2007,geEV4eoz,6,0,0
19274,04-06-2007,xWoYJvOK,20,2,8
18821,05-06-2007,1m3MJDoB,14,0,2
11985,05-06-2007,1m3MXnEB,11,2,1
6567,05-06-2007,N6Okrpox,9,1,0
15783,05-06-2007,NbE1xaOJ,11,1,1
32956,05-06-2007,Pk3wrqEd,5,0,6
27992,05-06-2007,dj3dDj39,4,1,0
3691,05-06-2007,lnORvnON,7,2,2
16672,05-06-2007,we39ZAok,10,2,1
26174,05-06-2007,we39j9ok,8,0,4
14032,05-06-2007,wmo7qbEq,6,0,0
24503,05-06-2007,xWoYRrOK,12,0,10
1256,05-06-2007,ydEjgP3W,7,0,0
3219,06-06-2007,0j3Llq3r,2,0,2
4643,06-06-2007,6K3lW6Ez,5,1,1
9671,06-06-2007,6Wo228o9,4,0,0
7995,06-06-2007,JBEyvm38,6,0,1
20401,06-06-2007,JGoNGdOL,0,0,0
30287,06-06-2007,N6OkxvEx,14,1,7
336,06-06-2007,dj3daao9,9,1,2
15549,06-06-2007,geEV8zoz,15,0,7
2986,06-06-2007,njoZD1Er,2,0,0
18516,06-06-2007,nkOvAaoB,8,0,0
31740,06-06-2007,p038m8om,5,0,2
19120,06-06-2007,qN3g7M3A,10,0,0
21279,07-06-2007,B1oXKN3V,15,2,4
32469,07-06-2007,B1oXz1EV,0,0,0
22982,07-06-2007,N6OkkGOx,2,0,2
